name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Afton Community Day,4.6,,Adult day care center,3743 Red River Dr,,Closed · Opens 8 AM Tue,http://freedomseniorservices.com/,https://www.google.com/maps/place/Afton+Community+Day/data=!4m7!3m6!1s0x88425b305c2a4193:0x93a3544a3af155d!8m2!3d37.9685181!4d-84.4841778!16s%2Fg%2F11gvrtltsk!19sChIJk0EqXDBbQogRXRWvo0Q1Ogk?authuser=0&hl=en&rclk=1
Potomac Green Community Association,4.4,,Association / Organization,44499 Oakmont Manor Square,,Closed · Opens 9 AM Tue,https://www.potomacgreen.org/home/,https://www.google.com/maps/place/Potomac+Green+Community+Association/data=!4m7!3m6!1s0x89b6394e42ea33ff:0x40fe38da7ee2bdf9!8m2!3d39.0455235!4d-77.4625665!16s%2Fm%2F02652ss!19sChIJ_zPqQk45tokR-b3ifto4_kA?authuser=0&hl=en&rclk=1
One Parent Scholar House,4.0,,Social services organization,1156 Horsemans Ln,,Closed · Opens 8 AM Tue,http://www.oneparentscholarhouse.org/index.php?option=com_content&view=article&id=57&Itemid=65,https://www.google.com/maps/place/One+Parent+Scholar+House/data=!4m7!3m6!1s0x88424360d4272709:0xce6f6c76d4bda3!8m2!3d38.0436299!4d-84.5278648!16s%2Fg%2F12mkvn10l!19sChIJCScn1GBDQogRo73UdmxvzgA?authuser=0&hl=en&rclk=1
Ferrill Square Apartments,3.7,,Apartment building,471 Price Rd,,,,https://www.google.com/maps/place/Ferrill+Square+Apartments/data=!4m7!3m6!1s0x8842446679782d99:0x5fd5799f3159ca9a!8m2!3d38.070257!4d-84.506199!16s%2Fg%2F1tfbcv9s!19sChIJmS14eWZEQogRmspZMZ951V8?authuser=0&hl=en&rclk=1
Carilion Clinic Home Care - Lexington,5.0,,Home health care service,100 Spotswood Dr,,Open 24 hours,https://www.carilionclinic.org/locations/carilion-clinic-home-care-lexington?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,https://www.google.com/maps/place/Carilion+Clinic+Home+Care+-+Lexington/data=!4m7!3m6!1s0x884ccbbc558e8279:0x5b6c4eb4c76e33bf!8m2!3d37.7805422!4d-79.4401932!16s%2Fg%2F11cn9j3gpz!19sChIJeYKOVbzLTIgRvzNux7RObFs?authuser=0&hl=en&rclk=1
"Polo Club Senior Living IL, AL, MC",,,Senior citizen center,Little Herb Wy,,,,"https://www.google.com/maps/place/Polo+Club+Senior+Living+IL,+AL,+MC/data=!4m7!3m6!1s0x88424fc5138eadcb:0xc589fd3538a8d610!8m2!3d38.0272092!4d-84.4082161!16s%2Fg%2F11hbpqc_25!19sChIJy62OE8VPQogRENaoODX9icU?authuser=0&hl=en&rclk=1"
Merrill Gardens at Columbia,4.7,,Assisted living facility,2205 Gregg St,,Open 24 hours,https://www.merrillgardens.com/senior-living/sc/columbia/merrill-gardens-at-columbia/?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/Merrill+Gardens+at+Columbia/data=!4m7!3m6!1s0x88f8a5c7a920625d:0xbfbeff2151e1201e!8m2!3d34.0198332!4d-81.0297026!16s%2Fg%2F11j0hb9rqz!19sChIJXWIgqcel-IgRHiDhUSH_vr8?authuser=0&hl=en&rclk=1
Barbara Care,5.0,,Home health care service,624 Wellington Way Ste B,,Open · Closes 7 PM,http://www.barbaracare.com/,https://www.google.com/maps/place/Barbara+Care/data=!4m7!3m6!1s0x88425dee181afac7:0xa9d458ff244d908d!8m2!3d38.0015781!4d-84.5465061!16s%2Fg%2F11fhsn68mv!19sChIJx_oaGO5dQogRjZBNJP9Y1Kk?authuser=0&hl=en&rclk=1
Family Choice Home Care,4.9,,Home health care service,431 S Broadway Ste 113,,Open 24 hours,https://www.familychoicecare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=listing,https://www.google.com/maps/place/Family+Choice+Home+Care/data=!4m7!3m6!1s0x88424565107f2fad:0x96bec95c6c70e9aa!8m2!3d38.0456013!4d-84.5052355!16s%2Fg%2F11vx3crj9d!19sChIJrS9_EGVFQogRqulwbFzJvpY?authuser=0&hl=en&rclk=1
AUDIOPROVED LIMITED LIABILITY COMPANY,,,Assisted living facility,1795 Alysheba Way UNIT 7202,,Closes soon · Opens 9 AM Tue,https://audioproved.com/,https://www.google.com/maps/place/AUDIOPROVED+LIMITED+LIABILITY+COMPANY/data=!4m7!3m6!1s0x88424f73d7a948ff:0xa26516f870c8bef6!8m2!3d38.0176118!4d-84.4235709!16s%2Fg%2F11yj5msbd3!19sChIJ_0ip13NPQogR9r7IcPgWZaI?authuser=0&hl=en&rclk=1
